date,year,area,area_million_ha
2003-01-01,2003,13096197.0,13.096197
2004-01-01,2004,13032991.0,13.032991
2005-01-01,2005,13014350.0,13.01435
2006-01-01,2006,13007668.0,13.007668
2007-01-01,2007,12993397.0,12.993397
2008-01-01,2008,13093975.0,13.093975
2009-01-01,2009,13119072.0,13.119072
2012-01-01,2012,12840026.0,12.840026
2013-01-01,2013,12919086.0,12.919086
2014-01-01,2014,12901681.0,12.901681
2015-01-01,2015,12788296.0,12.788296
2016-01-01,2016,12782366.0,12.782366
2017-01-01,2017,12626800.0,12.6268
2018-01-01,2018,12553152.0,12.553152
2019-01-01,2019,12318472.0,12.318472
2020-01-01,2020,12345682.0,12.345682
2021-01-01,2021,12387796.0,12.387796
