date,year,state,area,area_million_ha,state_area_ha
2021-01-01,2021,Johor,334502.0,0.334502,1897300
2021-01-01,2021,Kedah,341976.0,0.341976,940100
2021-01-01,2021,Kelantan,629881.0,0.629881,1496200
2021-01-01,2021,Melaka,5199.0,0.005199,172000
2021-01-01,2021,Negeri Sembilan,155143.0,0.155143,665700
2021-01-01,2021,Pahang,1588298.0,1.588298,3597700
2021-01-01,2021,Perak,986848.0,0.986848,2107700
2021-01-01,2021,Perlis,10629.0,0.010629,82100
2021-01-01,2021,Pulau Pinang,5387.0,0.005387,107300
2021-01-01,2021,Sabah,3574468.0,3.574468,7374400
2021-01-01,2021,Sarawak,3964880.0,3.96488,12440000
2021-01-01,2021,Selangor,250208.0,0.250208,797000
2021-01-01,2021,Terengganu,540309.0,0.540309,1295400
2021-01-01,2021,W.P. Kuala Lumpur,68.0,0.000068,24300
