state,area_2003,area_2021,change_area,change_million_ha,change_percent,direction
Sarawak,4836800.0,3964880.0,-871920.0,-0.87192,-18.02679457492557,Decrease
Johor,356922.0,334502.0,-22420.0,-0.02242,-6.281484469996245,Decrease
Negeri Sembilan,165639.0,155143.0,-10496.0,-0.010496,-6.33667191905288,Decrease
Kedah,344530.0,341976.0,-2554.0,-0.002554,-0.7412997416770672,Decrease
Melaka,5468.0,5199.0,-269.0,-0.000269,-4.91953182150695,Decrease
Perlis,10718.0,10629.0,-89.0,-8.9e-05,-0.8303788020153015,Decrease
W.P. Putrajaya,0.0,0.0,0.0,0.0,,Increase
W.P. Labuan,0.0,0.0,0.0,0.0,,Increase
W.P. Kuala Lumpur,61.0,68.0,7.0,7e-06,11.475409836065573,Increase
Kelantan,629687.0,629881.0,194.0,0.000194,0.0308089574661697,Increase
Pulau Pinang,5139.0,5387.0,248.0,0.000248,4.825841603424791,Increase
Terengganu,535929.0,540309.0,4380.0,0.00438,0.8172724372071674,Increase
Sabah,3563186.0,3574468.0,11282.0,0.011282,0.3166267492070299,Increase
Selangor,233781.0,250208.0,16427.0,0.016427,7.026661704757872,Increase
Pahang,1524132.0,1588298.0,64166.0,0.064166,4.210002808155724,Increase
Perak,884205.0,986848.0,102643.0,0.102643,11.608507076978755,Increase
